"Pixel","Count"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,2
31,4
32,7
33,28
34,55
35,84
36,140
37,208
38,233
39,372
40,436
41,514
42,788
43,976
44,1076
45,1221
46,1466
47,1775
48,2015
49,2284
50,2058
51,2207
52,2424
53,2284
54,1999
55,2457
56,1931
57,1809
58,1826
59,1772
60,1521
61,1495
62,1363
63,1131
64,1053
65,1013
66,899
67,897
68,797
69,832
70,873
71,795
72,802
73,806
74,747
75,815
76,891
77,816
78,871
79,871
80,937
81,931
82,924
83,930
84,943
85,891
86,954
87,933
88,964
89,1083
90,1065
91,1030
92,1040
93,1055
94,1229
95,1168
96,1296
97,1228
98,1395
99,1375
100,1518
101,1653
102,1752
103,1971
104,2097
105,2088
106,1810
107,2095
108,2128
109,1661
110,1714
111,1457
112,1552
113,1398
114,1517
115,1421
116,1450
117,1500
118,1449
119,1442
120,1479
121,1620
122,1652
123,1618
124,1802
125,1766
126,1847
127,1950
128,2104
129,2296
130,2444
131,2629
132,2821
133,2573
134,2607
135,2439
136,2106
137,2047
138,2043
139,2131
140,2058
141,2168
142,2532
143,2502
144,2590
145,2705
146,2634
147,2768
148,2688
149,2568
150,2575
151,2469
152,2585
153,2680
154,2832
155,2905
156,2861
157,2740
158,2568
159,2306
160,2057
161,1904
162,1646
163,1555
164,1474
165,1358
166,1302
167,1337
168,1255
169,1107
170,1153
171,1239
172,1207
173,1270
174,1150
175,1224
176,1194
177,1124
178,1169
179,1047
180,985
181,899
182,782
183,721
184,686
185,665
186,638
187,628
188,608
189,684
190,798
191,775
192,852
193,832
194,940
195,869
196,917
197,941
198,889
199,908
200,839
201,785
202,829
203,817
204,837
205,813
206,911
207,908
208,973
209,1029
210,1026
211,982
212,904
213,790
214,771
215,598
216,479
217,417
218,350
219,326
220,322
221,250
222,206
223,187
224,137
225,102
226,75
227,51
228,42
229,41
230,18
231,17
232,10
233,5
234,8
235,3
236,1
237,0
238,0
239,0
240,1
241,1
242,1
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
